page_num,row_num,full_link,company,co_hq_city,co_hq_zip,labor_area,id,notice_date
page006.html,143,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=213,"Haggen, Inc.  ",Irvine  ,92618  ,10  ,213,2015-08-14
page006.html,144,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=214,"Haggen, Inc.  ",Irvine  ,92618  ,12  ,214,2015-08-14
page006.html,145,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=255,"Hanjin Shipping America, LLC  ",Chandler  ,85224  ,7  ,255,2016-10-12
page006.html,146,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=393,Hard Rock Cafe International  ,Phoenix  ,85004  ,5  ,393,2019-12-28
page006.html,147,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=99,Hawker Beechcraft Corporation  ,Witchita  ,67206  ,7  ,99,2012-11-14
page006.html,148,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=300,Hawrhorne Gardening  ,Chandler  ,85226  ,7  ,300,2018-06-06
page006.html,149,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=36,"Healthways, Inc.  ",Phoenix  ,85044  ,7  ,36,2011-11-16
page006.html,150,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=109,Heracus Materials Technology North America LLC  ,Chandler  ,85226  ,7  ,109,2013-03-01
page007.html,151,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=151,Highway Technologies  ,Houston  ,77002  ,7  ,151,2013-05-17
page007.html,152,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=20,Hines Nurseries  ,Chino Valley  ,86323  ,12  ,20,2010-10-06
page007.html,153,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=97,HMSHost  ,Phoenix  ,85034  ,5  ,97,2012-10-29
page007.html,154,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=55,Hometown America  ,Apache Junction  ,85219  ,6  ,55,2011-05-31
page007.html,155,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=67,Hostess Brand Inc.  ,Flagstaff  ,860044216  ,10  ,67,2012-05-04
page007.html,156,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=74,"Hostess Brand, Inc.  ",Chandler  ,852251125  ,7  ,74,2012-05-04
page007.html,157,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=69,"Hostess Brand, Inc.  ",Payson  ,85901  ,2  ,69,2012-05-04
page007.html,158,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=77,"Hostess Brand, Inc.  ",Lake Havasu City  ,864042401  ,11  ,77,2012-05-04
page007.html,159,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=78,"Hostess Brands, Inc.  ",Kingman  ,86401  ,11  ,78,2012-05-04
page007.html,160,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=79,"Hostess Brands, Inc.  ",Showlow  ,85901  ,14  ,79,2012-05-04
page007.html,161,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=80,"Hostess Brands, Inc.  ",Tucson  ,857055930  ,6  ,80,2012-05-04
page007.html,162,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=81,"Hostess Brands, Inc.  ",Casa Grande  ,852225203  ,2  ,81,2012-05-04
page007.html,163,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=82,"Hostess Brands, Inc.  ",Chino Valley  ,86323  ,12  ,82,2012-05-04
page007.html,164,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=83,"Hostess Brands, Inc.  ",Yuma  ,853648540  ,9  ,83,2012-05-04
page007.html,165,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=70,"Hostess Brands, Inc.  ",Ehrenberg  ,85334  ,11  ,70,2012-05-04
page007.html,166,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=71,"Hostess Brands, Inc.  ",Mesa  ,852038033  ,7  ,71,2012-05-04
page007.html,167,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=72,"Hostess Brands, Inc.  ",Phoenix  ,850221107  ,7  ,72,2012-05-04
page007.html,168,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=73,"Hostess Brands, Inc.  ",Phoenix  ,850094720  ,7  ,73,2012-05-04
